chr	pos	alpha A	beta A	alpha T	beta T	alpha G	beta G	alpha C	beta C
chr1	36466418	0	0	0.166667	54996.5	6.5	54990.2	3.83333	54992.8
chr1	36466419	5.83333	55518.8	0.5	55524.2	0	0	0.166667	55524.5
chr1	36466420	2.5	54869.2	6.5	54865.2	1.16667	54870.5	0	0
chr1	36466421	0	0	6.16667	48477.8	4.28094	13988.3	44.1667	48439.8
chr1	36466422	2.5	52810.8	0.5	52812.8	0	0	0.5	52812.8
chr1	36466423	1.5	46519.8	0	0	2.57374	7653.94	5.16667	51063.2
chr1	36466424	2.79196	16646.7	7.16667	50681.5	0	0	3.16667	50685.5
chr1	36466425	18.8661	99619.2	0.833333	51932.2	0	0	0.833333	51932.2
chr1	36466426	41.22	37426.5	15.3102	28471.6	48.8333	46157.2	0	0
chr1	36466427	11.8333	49924.2	1.46221	5999.91	7.16667	49928.8	0	0
chr1	36466428	2.5	54272.5	0.5	54274.5	0.833333	54274.2	0	0
chr1	36466429	0	0	3.18329	5164.92	25.5	46244.5	30.6519	6008.79
chr1	36466430	0	0	0.166667	53962.5	0.5	53962.2	0.166667	48675.2
chr1	36466431	0	0	0.166667	53722.8	0.166667	53722.8	0.833333	53722.2
chr1	36466432	3.5	54183.8	1.5	54185.8	0	0	0.166667	54187.2
chr1	36466433	0	0	1.5	50694.2	0.580102	3600.48	5.16667	50690.5
chr1	36466434	2.83333	53436.5	0.166667	42382.2	0.5	53438.8	0	0
chr1	36466435	0	0	2.5	48377.8	6.83333	48373.5	62.5	48317.8
chr1	36466436	6.46695	21193	6.16667	50804.8	7.83333	50803.2	0	0
chr1	36466437	0	0	0.166667	51089.5	10.1667	51079.5	6.5	51083.2
chr1	36466438	0.166667	54282.8	0.5	54282.5	0	0	0.166667	54282.8
chr1	36466439	1.16667	50325.5	0	0	5.02825	24095.5	5.16667	50321.5
chr1	36466440	1.5	53532.5	3.16667	53530.8	0.833333	53533.2	0	0
chr1	36466441	7.85097	40711	5.83333	50994.5	0	0	4.30729	26894.5
chr1	36466442	9.30297	18341.4	0	0	74.2092	39224.8	208.612	55887.9
chr1	36466443	35.9911	8455.28	15.1938	2055.57	9.84743	2920.38	0	0
chr1	36466444	3.83333	55673.8	0.166667	55677.5	0.166667	55677.5	0	0
chr1	36466445	1.16667	51854.2	0	0	5.83333	51849.5	6.95272	43107
chr1	36466446	16.8333	53199.8	1.68153	4510.19	6.16667	53210.5	0	0
chr1	36466447	2.16667	57429.2	0.166667	48933.2	0.5	57430.8	0	0
chr1	36466448	0.5	50039.5	0	0	8.31812	23742.7	1.83333	54725.5
chr1	36466449	3.5	57664.8	1.5	57666.8	0	0	0.833333	57667.5
chr1	36466450	5.16667	59176.5	6.5	59175.2	0	0	0.5	53038.5
chr1	36466451	4.16667	58646.5	1.83333	58648.8	1.16667	58649.5	0	0
chr1	36466452	1.5	57170.8	0	0	4.5	57167.8	2.5	57169.8
chr1	36466453	0.833333	57448.5	0	0	2.31081	4655.75	4.16667	57445.2
chr1	36466454	0.5	57729.5	6.5	57723.5	0	0	1.16667	57728.8
chr1	36466455	0.833333	51978.2	0.166667	59765.2	0	0	0.5	59764.8
chr1	36466456	0.5	53823.5	0.833333	60028.5	0	0	0.5	60028.8
chr1	36466457	0.706773	3754.51	1.83333	59328.8	0	0	0.166667	59330.5
chr1	36466458	0.833333	51942.5	2.16667	54732.2	4.16667	59891.2	0	0
chr1	36466459	0.5	57889.5	0	0	2.45827	10805.8	4.5	57885.5
chr1	36466460	4.5	56509.2	12.1667	56501.5	0	0	3.83333	56509.8
chr1	36466461	3.16667	59651.2	0.5	59653.8	0	0	0.5	59653.8
chr1	36466462	0.833333	58865.5	0.833333	58865.5	0	0	0.5	58865.8
chr1	36466463	1.5	58819.5	1.5	58819.5	0	0	0.166667	58820.8
chr1	36466464	0.166667	59951.5	0	0	2.83333	59948.8	0.166667	59951.5
chr1	36466465	2.83333	58262.5	0	0	4.83333	58260.5	0.5	58264.8
chr1	36466466	0	0	0.833333	59904.5	0.833333	59904.5	5.5	59899.8
chr1	36466467	6.16667	61554.8	1.16667	61559.8	0.833333	61560.2	0	0
chr1	36466468	2.16667	62316.2	0.536687	3785.74	0.5	62317.8	0	0
chr1	36466469	0	0	7.16667	58985.2	2.23774	5615.19	12.1667	58980.2
chr1	36466470	11.0724	51697.3	8.19361	28052.3	0	0	7.44761	33055.5
chr1	36466471	3.16667	62574.8	1.16667	62576.8	0	0	0.166667	62577.8
chr1	36466472	3.16667	61398.5	5.16667	61396.5	0	0	1.83333	61399.8
chr1	36466473	1.16667	57464.8	0	0	17.5	57448.5	7.10225	49969
chr1	36466474	8.61649	2479.02	13.7202	4008.87	58.9262	21427.2	0	0
chr1	36466475	63.1667	56687.5	37.5325	48555.5	4.19015	8438.2	0	0
chr1	36466476	6.5	60742.5	0.443527	3298.8	3.16667	60745.8	0	0
chr1	36466477	17.1789	45291.7	7.77777	24941.2	14.5	59328.5	0	0
chr1	36466478	0	0	0.166667	55756.5	0.331845	2976.87	2.5	64294.5
chr1	36466479	0	0	7.06977	30922.4	64.3485	108212	18.8333	61958.8
chr1	36466480	0.462908	2331.2	16.5534	70246.7	0	0	11.1667	62951.2
chr1	36466481	1.16667	57508.8	3.83333	63993.5	0	0	1.5	63995.8
chr1	36466482	0.5	50967.5	1.5	64398.2	0	0	0.5	58219.5
chr1	36466483	2.87563	18079.3	0.5	63928.2	0	0	0.833333	63927.8
chr1	36466484	14.02	80724	7.85675	60640.2	9.83333	60457.5	0	0
chr1	36466485	4.16667	60753.5	0	0	25.5	60732.2	4.5	60753.2
chr1	36466486	3.83333	64483.2	0.5	64486.5	0	0	0.166667	64486.8
chr1	36466487	0.806524	7420.49	2.16667	65942.5	0	0	0.833333	65943.8
chr1	36466488	1.83333	58267.2	3.39873	18533.2	0.166667	64538.5	0	0
chr1	36466489	2.16667	65171.2	3.5	65169.8	0.166667	65173.2	0	0
chr1	36466490	4.16667	60832.2	0	0	3.11508	5827.97	20.6283	119498
chr1	36466491	22.6575	5689.72	33.156	4940.46	0	0	16.3983	3903.71
chr1	36466492	2.83333	63207.2	2.83333	63207.2	0	0	1.5	63208.5
chr1	36466493	0	0	0.5	56104.2	2.0731	15758.5	4.5	62082.2
chr1	36466494	0	0	1.5	62496.2	1.16667	62496.5	4.5	62493.2
chr1	36466495	2.16667	64416.8	0.166667	64418.8	0.166667	64418.8	0	0
chr1	36466496	3.16667	62688.5	1.16667	54288.8	1.5	62690.2	0	0
chr1	36466497	0	0	9.83333	58181.5	11.0896	53028.7	36.7713	35331.4
chr1	36466498	0.833333	63601.8	1.83333	63600.8	0	0	0.5	63602.2
chr1	36466499	0	0	3.0605	6987.08	20.751	14059.7	17.1916	37766.5
chr1	36466500	1.16667	57772.2	0.5	64009.2	0	0	0.166667	57718.8
chr1	36466501	0.833333	57197.5	4.16667	62732.5	0	0	1.16667	62735.5
chr1	36466502	0.166667	59611.2	0	0	8.17806	33612.9	0.833333	59610.5
chr1	36466503	11.5118	40627.5	0	0	40.5653	59890.7	5.30067	14447.4
chr1	36466504	1.16667	61098.8	0.5	61099.5	0.833333	61099.2	0	0
chr1	36466505	44.8333	54549.2	0	0	8.8376	7103.89	16.6031	10036.2
chr1	36466506	18.2839	69994.4	2.5	59350.2	2.5	59350.2	0	0
chr1	36466507	0	0	0.5	61258.5	1.83333	61257.2	2.5	61256.5
chr1	36466508	2.83333	60324.8	0	0	16.1814	52750.5	2.16667	60325.5
chr1	36466509	0	0	2.16667	59882.5	4.68793	21317	9.80508	64045.6
chr1	36466510	0.5	63234.5	0.5	63234.5	0	0	0.166667	63234.8
chr1	36466511	0.5	62518.5	0.833333	56310.5	0	0	0.166667	62518.8
chr1	36466512	0	0	7.16667	55173.5	1.95225	3530.06	22.8782	20729.5
chr1	36466513	2.16667	62637.5	0.5	62639.2	0.5	62639.2	0	0
chr1	36466514	0.166667	62707.2	0	0	1.5	62705.8	0.166667	62707.2
chr1	36466515	5.19859	10084	0	0	11.8789	2220.81	12.759	19246.6
chr1	36466516	0.4367	2773.25	4.16667	62451.8	0	0	3.83333	62452.2
chr1	36466517	5.16667	63172.8	1.16667	63176.8	0	0	0.833333	63177.2
chr1	36466518	0.833333	57085.2	4.83333	63423.8	0	0	0.5	54291.2
chr1	36466519	1.83333	63432.5	0.833333	63433.5	0	0	0.166667	63434.2
chr1	36466520	2.71105	24670.1	4.83333	62184.2	2.16667	62186.8	0	0
chr1	36466521	1.5	59805.8	0	0	24.8333	59782.5	5.5	59801.8
chr1	36466522	8.83333	59486.8	5.54671	31423.5	0	0	4.04275	32066.1
chr1	36466523	1.83333	63476.5	1.83333	63476.5	0	0	0.166667	63478.2
chr1	36466524	1.16667	63585.8	0.5	63586.5	0	0	0.833333	63586.2
chr1	36466525	1.16667	57051.5	1.5	63357.8	0	0	0.833333	63358.5
chr1	36466526	2.16667	63203.2	0.5	63204.8	0	0	0.166667	63205.2
chr1	36466527	1.16667	60971.2	0	0	27.6251	74833.1	3.04583	9360.54
chr1	36466528	5.16667	61652.2	8.83333	61648.5	0	0	3.16667	61654.2
chr1	36466529	0	0	3.29276	12249.2	14.0046	16451.2	8.44655	17820.2
chr1	36466530	6.5	63064.5	4.16667	63066.8	0	0	0.833333	63070.2
chr1	36466531	6.16667	64858.8	1.16667	64863.8	0	0	0.166667	64864.8
chr1	36466532	5.5	63037.5	4.5	63038.5	2.83333	63040.2	0	0
chr1	36466533	16.8333	60398.2	9.5	60405.5	6.16667	60408.8	0	0
chr1	36466534	4.83333	62139.8	1.83333	53860.8	4.83333	62139.8	0	0
chr1	36466535	30.0384	7204.95	25.0292	6488.45	0	0	24.7181	3313.74
chr1	36466536	4.16667	65466.5	4.5	65466.2	0.166667	65470.5	0	0
chr1	36466537	5.83333	65195.2	3.16667	65197.8	0.833333	65200.2	0	0
chr1	36466538	0	0	1.16667	64777.5	1.83333	56135.2	4.16667	64774.5
chr1	36466539	0	0	0.166667	65564.8	1.16667	65563.8	0.5	65564.5
chr1	36466540	0.166667	67062.8	0.166667	67062.8	0	0	0.166667	67062.8
chr1	36466541	0	0	4.5	61820.2	6.4138	37758.4	6.94963	26033
chr1	36466542	6.16667	62631.8	5.38939	38211.3	0	0	4.83333	62633.2
chr1	36466543	0.951792	5202.95	4.16667	62871.8	0	0	0.166667	62875.8
chr1	36466544	6.16667	64745.5	0.5	64751.2	0	0	0.166667	56135.5
chr1	36466545	5.16667	62674.8	1.16667	62678.8	0	0	0.833333	62679.2
chr1	36466546	3.16667	64853.5	4.5	64852.2	0.833333	64855.8	0	0
chr1	36466547	5.5	60571.5	0	0	5.98994	16363.3	11.9236	62796.2
chr1	36466548	0.5	54953.5	1.16667	63411.5	0	0	0.166667	57210.5
chr1	36466549	0	0	0.833333	57701.2	4.16667	63084.8	2.5	54628.5
chr1	36466550	2.16667	64676.2	0.833333	64677.5	0	0	0.5	64677.8
chr1	36466551	0.5	62866.2	0	0	2.16667	54411.8	0.5	56813.2
chr1	36466552	0.781227	5464.8	2.83333	61796.5	0	0	3.5	61795.8
chr1	36466553	0.833333	63137.2	0.5	63137.5	0	0	0.5	63137.5
chr1	36466554	0	0	2.16667	61769.8	1.58989	6619.35	2.16667	61769.8
chr1	36466555	0.896174	7069.88	2.16667	61802.5	0	0	1.5	61803.2
chr1	36466556	2.16667	63004.8	0	0	2.83333	63004.2	1.70202	15691.9
chr1	36466557	11.62	8787.56	8.49937	7310.65	6.927	7262.46	0	0
chr1	36466558	0	0	0.166667	62395.2	6.5	62388.8	0.833333	53903.8
chr1	36466559	2.5	63680.8	1.5	63681.8	0.833333	63682.5	0	0
chr1	36466560	0	0	2.16667	60742.5	4.20598	16841.3	13.1872	55231.6
chr1	36466561	0.833333	56659.2	0.166667	65548.8	0	0	0.166667	65548.8
chr1	36466562	5.5	63124.2	1.77548	13184.7	1.5	63128.2	0	0
chr1	36466563	5.16667	64419.8	2.16667	64422.8	0	0	0.833333	64424.2
chr1	36466564	0.5	58594.8	0.5	64832.8	0	0	0.166667	64833.2
chr1	36466565	0	0	2.5	60871.5	6.16667	60867.8	2.38668	15290.9
chr1	36466566	0.166667	64433.5	0.5	64433.2	0	0	0.5	64433.2
chr1	36466567	0	0	0.166667	64128.8	2.5	64126.5	2.16667	64126.8
chr1	36466568	3.5	61783.5	0	0	2.95835	15020.7	0.780957	6159.18
chr1	36466569	0	0	1.5	63304.8	1.5	63304.8	4.83333	63301.5
chr1	36466570	1.5	64277.2	1.83333	64276.8	0	0	1.83333	64276.8
chr1	36466571	0.166667	62356.2	0	0	13.8333	62342.5	2.07673	3390.86
chr1	36466572	2.83333	64946.2	1.5	64947.5	0	0	0.5	64948.5
chr1	36466573	1.16667	65490.5	2.5	65489.2	0.166667	65491.5	0	0
chr1	36466574	0.5	65476.8	0.166667	56493.5	0.833333	65476.5	0	0
chr1	36466575	48.5	61076.8	12.7451	26395.8	5.6453	14889.5	0	0
chr1	36466576	5.46037	21823.8	0	0	6.45118	3399.81	12.1606	42939
chr1	36466577	3.58899	10505.2	31.8169	37900.4	0	0	25.1667	60975.8
chr1	36466578	3.83333	65961.5	0.5	65964.8	0	0	0.833333	65964.5
chr1	36466579	0.5	51815.5	0.672894	5609.86	1.16667	56510.8	0	0
chr1	36466580	4.5	64985.2	1.68184	13951.8	1.83333	56033.8	0	0
chr1	36466581	3.27361	17438	2.16667	55871.2	2.5	64819.8	0	0
chr1	36466582	14.1667	60861.2	0	0	14.4126	16697.4	3.04847	7783.39
chr1	36466583	2.16667	64338.8	2.83333	64338.2	0	0	1.16667	64339.8
chr1	36466584	0.5	52430.2	0.5	60443.8	0	0	1.5	66061.5
chr1	36466585	0.833333	59683.8	0.166667	66054.2	0	0	0.5	66053.8
chr1	36466586	5.5	65246.5	6.5	65245.5	2.16667	65249.8	0	0
chr1	36466587	0.5	59309.8	0	0	1.16667	64752.2	1.16667	64752.2
chr1	36466588	0.5	64056.5	0	0	2.83333	64054.2	3.16667	58681.8
chr1	36466589	2.83333	65489.8	2.83333	65489.8	0	0	0.833333	65491.8
chr1	36466590	1.16667	63073.5	0	0	10.6027	70385.1	0.510037	3163.79
chr1	36466591	5.16667	56509.2	3.16667	62516.8	0	0	0.833333	62519.2
chr1	36466592	3.16667	62197.2	5.16667	62195.2	0	0	0.166667	62200.2
chr1	36466593	0.50901	2547.18	1.5	62563.2	0	0	3.5	62561.2
chr1	36466594	6.16667	62503.5	3.5	62506.2	0	0	4.5	62505.2
chr1	36466595	3.83333	63225.2	2.16667	54464.8	0.5	63228.5	0	0
chr1	36466596	13.8333	58836.2	0	0	8.04592	19859.2	25.5	58824.5
chr1	36466597	5.28989	21806.9	13.1498	46838.5	0	0	2.18181	14555.6
chr1	36466598	4.16667	62524.8	3.31498	13663.6	2.16667	62526.8	0	0
chr1	36466599	2.83333	62852.5	3.5	62851.8	1.17274	5327.49	0	0
chr1	36466600	5.5	62293.8	2.16667	56277.8	2.5	62296.8	0	0
chr1	36466601	0	0	0.833333	62266.8	4.83333	62262.8	1.5	62266.2
chr1	36466602	0.60338	4020.68	0.833333	63312.8	0	0	1.5	63312.2
chr1	36466603	23.2621	162186	4.89541	17225.7	3.5	61592.2	0	0
chr1	36466604	0	0	0.833333	60759.8	0.731407	2538.74	6.83333	60753.8
chr1	36466605	8.83333	60278.5	5.5	60281.8	0	0	0.565776	4176.06
chr1	36466606	3.83333	59596.8	0.494119	4309.24	2.5	59598.2	0	0
chr1	36466607	0.833333	59838.2	0	0	5.16667	59833.8	1.43562	2725.74
chr1	36466608	1.72389	14445.8	1.83333	60060.2	0	0	3.16667	60058.8
chr1	36466609	2.16667	58944.5	3.5	53221.8	0.166667	53249.5	0	0
chr1	36466610	12.3204	100776	2.83333	53788.8	2.16667	58625.8	0	0
chr1	36466611	1.5	58866.2	1.16667	58866.5	2.5	58865.2	0	0
chr1	36466612	0	0	5.83333	57909.8	9.94905	48683.5	35.1667	57880.5
chr1	36466613	0.166667	60325.2	0	0	0.5	60324.8	0.166667	54376.5
chr1	36466614	0	0	0.833333	59458.8	5.16667	59454.5	0.5	59459.2
chr1	36466615	0	0	0.166667	59082.8	0.5	59082.5	0.833333	59082.2
chr1	36466616	0	0	23.3447	62606.2	20.8341	33305.7	7.2037	11736.5
chr1	36466617	2.25048	17206.6	1.16667	59898.5	0	0	0.5	59899.2
chr1	36466618	1.5	59182.5	1.5	59182.5	0	0	1.16667	59182.8
chr1	36466619	0	0	2.16667	56563.8	5.83333	56560.2	12.3084	60530.3
chr1	36466620	6.16667	56858.2	3.83333	56860.5	1.83333	56862.5	0	0
chr1	36466621	0.166667	46194.8	4.16667	58097.2	0.833333	58100.5	0	0
chr1	36466622	1.83333	50024.2	0	0	9.16667	55249.2	4.98866	20414.7
chr1	36466623	3.16667	56405.5	2.5	56406.2	0	0	1.83333	56406.8
chr1	36466624	0	0	0.5	56481.2	6.16667	56475.5	2.83333	56478.8
chr1	36466625	0.166667	56948.2	0	0	1.5	56946.8	1.5	45261.8
chr1	36466626	1.5	56620.5	2.83333	56619.2	0.166667	56621.8	0	0
chr1	36466627	4.5	50565.8	0.833333	56050.2	0	0	1.5	56049.5
chr1	36466628	6.5	55668.8	1.83333	55673.5	1.83333	55673.5	0	0
chr1	36466629	2.5	54403.5	0	0	5.5	54400.5	1.16667	54404.8
chr1	36466630	3.83333	54767.2	1.16667	54769.8	0	0	0.5	54770.5
chr1	36466631	0.833333	56040.5	0.166667	56041.2	0	0	0.5	56040.8
chr1	36466632	2.08584	4324.55	0	0	5.76801	2835.56	8.01693	16621.4
chr1	36466633	4.76502	16146.7	10.8333	52527.8	0	0	8.34937	33308
chr1	36466634	4.16667	54187.8	3.31261	18252.6	0.5	54191.5	0	0
chr1	36466635	19.6901	101242	3.18282	18151.1	5.83333	52279.2	0	0
chr1	36466636	0	0	3.83333	52591.8	2.30904	9460.96	3.90939	18976.1
chr1	36466637	0.833333	54833.5	1.5	54832.8	0	0	0.166667	54834.2
chr1	36466638	0	0	1.5	47888.8	0.699881	2557.84	1.5	47794.8
chr1	36466639	0.5	55404.2	0.5	55404.2	0.5	55404.2	0	0
chr1	36466640	4.5	52376.5	0	0	10.124	18597.1	5.5	52375.5
chr1	36466641	2.16667	52310.2	1.5	52310.8	0	0	1.16667	52311.2
chr1	36466642	0.166667	46036.5	1.16667	53485.5	0	0	0.166667	53486.5
chr1	36466643	0.166667	53846.5	0.5	53846.2	0	0	0.166667	53846.5
chr1	36466644	0	0	6.83333	50383.8	5.09468	27018.5	31.5	50359.2
chr1	36466645	0.166667	53557.2	0	0	0.5	53556.8	1.16667	53556.2
chr1	36466646	6.16667	50140.2	0	0	41.2816	35144.9	1.97062	9717.97
chr1	36466647	4.5	50872.8	2.5	50874.8	0	0	2.16667	50875.2
chr1	36466648	0.833333	44531.5	3.5	51480.8	0	0	0.5	44316.8
